,start_verse_num,end_verse_num,start_verse,end_verse,avg_embedding
24,979,985,2 Nephi 15 11,2 Nephi 15.17,"[-0.03155482 -0.03156119 -0.03154712 -0.03154371 -0.03154263 -0.03152352
 -0.031549  ]"
25,985,986,2 Nephi 15 17,2 Nephi 15.18,[-0.031549  -0.0315844]
26,986,987,2 Nephi 15 18,2 Nephi 15.19,[-0.0315844  -0.03155324]
27,987,990,2 Nephi 15 19,2 Nephi 15.22,[-0.03155324 -0.03158584 -0.03155431 -0.03151702]
28,990,1054,2 Nephi 15 22,2 Nephi 18.18,"[-0.03151702 -0.03152132 -0.03156114 -0.03152234 -0.03157448 -0.03158594
 -0.03153548 -0.03153293 -0.03153476 -0.03153629 -0.03154809 -0.03153095
 -0.03153468 -0.0315404  -0.03155285 -0.03153578 -0.03157032 -0.03155085
 -0.03153502 -0.03155518 -0.03151331 -0.03156098 -0.03155878 -0.03152861
 -0.03157887 -0.03155969 -0.03152998 -0.0315187  -0.03155018 -0.03153821
 -0.03153551 -0.03155507 -0.03153313 -0.03155936 -0.03155379 -0.03152715
 -0.03153694 -0.03151243 -0.03152036 -0.03152782 -0.03155015 -0.03154456
 -0.03155495 -0.03154742 -0.03154192 -0.03152548 -0.03154164 -0.03154382
 -0.0315355  -0.0315643  -0.03152513 -0.03154134 -0.03153077 -0.03154065
 -0.031523   -0.03156129 -0.03151316 -0.03156894 -0.03152906 -0.031518
 -0.03149469 -0.03155303 -0.03151129 -0.03151742 -0.03154325]"
29,1054,1055,2 Nephi 18 18,2 Nephi 18.19,[-0.03154325 -0.03157756]
30,1055,1079,2 Nephi 18 19,2 Nephi 19.21,"[-0.03157756 -0.03155908 -0.03153614 -0.03151045 -0.0315285  -0.03155712
 -0.03154392 -0.03152653 -0.03153892 -0.0315553  -0.0315598  -0.03151921
 -0.03156281 -0.03159    -0.03152813 -0.03152529 -0.03153565 -0.03151761
 -0.03155304 -0.03153481 -0.03155924 -0.03154569 -0.03150511 -0.03153674
 -0.03154896]"
31,1079,1080,2 Nephi 19 21,2 Nephi 20.1,[-0.03154896 -0.03156287]
32,1080,1129,2 Nephi 20 1,2 Nephi 21.16,"[-0.03156287 -0.03151009 -0.03155068 -0.03154827 -0.03153725 -0.03155976
 -0.0315694  -0.03154342 -0.03154262 -0.03151954 -0.03156682 -0.03155003
 -0.03154323 -0.03154317 -0.03157973 -0.03155979 -0.03154913 -0.0315627
 -0.03156299 -0.03154224 -0.03150803 -0.03151972 -0.03152326 -0.03156167
 -0.03153525 -0.0315158  -0.03153238 -0.03153352 -0.03153901 -0.03153997
 -0.03148985 -0.03150802 -0.03152556 -0.03152131 -0.03153984 -0.03154297
 -0.0315283  -0.03154295 -0.03156423 -0.0315325  -0.03155958 -0.03155785
 -0.03155157 -0.03153431 -0.03155173 -0.03153326 -0.03153884 -0.0315284
 -0.03152507 -0.03155652]"
33,1129,1130,2 Nephi 21 16,2 Nephi 22.1,[-0.03155652 -0.03151364]
